PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=781 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=782 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=783 ttl=64 time=920 ms
64 bytes from 10.0.0.2: icmp_seq=784 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=785 ttl=64 time=912 ms
64 bytes from 10.0.0.2: icmp_seq=786 ttl=64 time=932 ms
64 bytes from 10.0.0.2: icmp_seq=787 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=788 ttl=64 time=933 ms
64 bytes from 10.0.0.2: icmp_seq=789 ttl=64 time=930 ms
64 bytes from 10.0.0.2: icmp_seq=790 ttl=64 time=935 ms
64 bytes from 10.0.0.2: icmp_seq=791 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=792 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=793 ttl=64 time=932 ms
64 bytes from 10.0.0.2: icmp_seq=794 ttl=64 time=921 ms
64 bytes from 10.0.0.2: icmp_seq=795 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=796 ttl=64 time=938 ms
64 bytes from 10.0.0.2: icmp_seq=797 ttl=64 time=935 ms
64 bytes from 10.0.0.2: icmp_seq=798 ttl=64 time=940 ms
64 bytes from 10.0.0.2: icmp_seq=799 ttl=64 time=936 ms
64 bytes from 10.0.0.2: icmp_seq=800 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=801 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=802 ttl=64 time=936 ms
64 bytes from 10.0.0.2: icmp_seq=803 ttl=64 time=941 ms
64 bytes from 10.0.0.2: icmp_seq=804 ttl=64 time=954 ms
64 bytes from 10.0.0.2: icmp_seq=805 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=806 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=807 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=808 ttl=64 time=942 ms
64 bytes from 10.0.0.2: icmp_seq=809 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=810 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=811 ttl=64 time=948 ms
64 bytes from 10.0.0.2: icmp_seq=812 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=813 ttl=64 time=966 ms
64 bytes from 10.0.0.2: icmp_seq=814 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=815 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=816 ttl=64 time=948 ms
64 bytes from 10.0.0.2: icmp_seq=817 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=818 ttl=64 time=951 ms
64 bytes from 10.0.0.2: icmp_seq=819 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=820 ttl=64 time=952 ms
64 bytes from 10.0.0.2: icmp_seq=821 ttl=64 time=949 ms
64 bytes from 10.0.0.2: icmp_seq=822 ttl=64 time=953 ms
64 bytes from 10.0.0.2: icmp_seq=823 ttl=64 time=967 ms
64 bytes from 10.0.0.2: icmp_seq=824 ttl=64 time=955 ms
64 bytes from 10.0.0.2: icmp_seq=825 ttl=64 time=969 ms
64 bytes from 10.0.0.2: icmp_seq=826 ttl=64 time=965 ms
64 bytes from 10.0.0.2: icmp_seq=827 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=828 ttl=64 time=968 ms
64 bytes from 10.0.0.2: icmp_seq=829 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=830 ttl=64 time=969 ms
64 bytes from 10.0.0.2: icmp_seq=831 ttl=64 time=957 ms
64 bytes from 10.0.0.2: icmp_seq=832 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=833 ttl=64 time=975 ms
64 bytes from 10.0.0.2: icmp_seq=834 ttl=64 time=972 ms
64 bytes from 10.0.0.2: icmp_seq=835 ttl=64 time=977 ms
64 bytes from 10.0.0.2: icmp_seq=836 ttl=64 time=973 ms
64 bytes from 10.0.0.2: icmp_seq=837 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=838 ttl=64 time=959 ms
64 bytes from 10.0.0.2: icmp_seq=839 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=840 ttl=64 time=960 ms
64 bytes from 10.0.0.2: icmp_seq=841 ttl=64 time=957 ms
64 bytes from 10.0.0.2: icmp_seq=842 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=843 ttl=64 time=975 ms
64 bytes from 10.0.0.2: icmp_seq=844 ttl=64 time=981 ms
64 bytes from 10.0.0.2: icmp_seq=845 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=846 ttl=64 time=973 ms
64 bytes from 10.0.0.2: icmp_seq=847 ttl=64 time=986 ms
64 bytes from 10.0.0.2: icmp_seq=848 ttl=64 time=975 ms
64 bytes from 10.0.0.2: icmp_seq=849 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=850 ttl=64 time=976 ms
64 bytes from 10.0.0.2: icmp_seq=851 ttl=64 time=989 ms
64 bytes from 10.0.0.2: icmp_seq=852 ttl=64 time=993 ms
64 bytes from 10.0.0.2: icmp_seq=853 ttl=64 time=990 ms
64 bytes from 10.0.0.2: icmp_seq=854 ttl=64 time=986 ms
64 bytes from 10.0.0.2: icmp_seq=855 ttl=64 time=991 ms
64 bytes from 10.0.0.2: icmp_seq=856 ttl=64 time=987 ms
64 bytes from 10.0.0.2: icmp_seq=857 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=858 ttl=64 time=973 ms
64 bytes from 10.0.0.2: icmp_seq=859 ttl=64 time=994 ms
64 bytes from 10.0.0.2: icmp_seq=860 ttl=64 time=975 ms
64 bytes from 10.0.0.2: icmp_seq=861 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=862 ttl=64 time=994 ms
64 bytes from 10.0.0.2: icmp_seq=863 ttl=64 time=984 ms
64 bytes from 10.0.0.2: icmp_seq=864 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=865 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=866 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=867 ttl=64 time=995 ms
64 bytes from 10.0.0.2: icmp_seq=868 ttl=64 time=984 ms
64 bytes from 10.0.0.2: icmp_seq=869 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=870 ttl=64 time=986 ms
64 bytes from 10.0.0.2: icmp_seq=871 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=872 ttl=64 time=1001 ms
64 bytes from 10.0.0.2: icmp_seq=873 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=874 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=875 ttl=64 time=999 ms
64 bytes from 10.0.0.2: icmp_seq=876 ttl=64 time=1004 ms
64 bytes from 10.0.0.2: icmp_seq=877 ttl=64 time=1002 ms
64 bytes from 10.0.0.2: icmp_seq=878 ttl=64 time=1007 ms
64 bytes from 10.0.0.2: icmp_seq=879 ttl=64 time=1003 ms

--- 10.0.0.2 ping statistics ---
889 packets transmitted, 840 received, 5.51181% packet loss, time 89929ms
rtt min/avg/max/mdev = 0.069/824.898/1425.514/145.301 ms, pipe 14
